Date,Price,Open,High,Low,Vol.,Change %
1/16/2014,231.45,231.04,231.48,229.96,15.39M,0.18
1/15/2014,231.04,229.76,231.27,229.76,17.00M,0.56
1/14/2014,229.76,230.62,231.56,229.76,17.72M,-0.37
1/13/2014,230.62,231.49,232.27,230.31,18.00M,-0.38
1/10/2014,231.49,231.42,231.72,230.84,18.81M,0.03
1/9/2014,231.42,230.26,231.7,229.82,19.42M,0.5
1/8/2014,230.26,229.52,230.75,229.03,17.45M,0.32
1/7/2014,229.52,229.7,231.08,229.5,16.33M,-0.08
1/6/2014,229.7,231.35,231.61,229.27,17.14M,-0.71
1/3/2014,231.35,231.77,231.77,230.53,11.59M,-0.18
1/2/2014,231.77,233.18,233.18,230.42,14.69M,-0.6
12/31/2013,233.18,233.11,233.73,233.11,8.45M,0.03
12/30/2013,233.11,232.45,233.11,232.08,9.06M,0.28
12/27/2013,232.45,231.49,232.73,231.49,10.77M,0.41
12/24/2013,231.49,230.65,231.81,230.65,6.56M,0.36
12/23/2013,230.65,229.66,230.89,229.66,11.45M,0.43
12/20/2013,229.66,229.55,231.42,229.55,38.00M,0.05
12/19/2013,229.55,227.74,229.58,227.74,17.74M,0.79
12/18/2013,227.74,224.72,228.09,224.72,29.07M,1.34
12/17/2013,224.72,224.9,225.87,224.56,18.98M,-0.08
12/16/2013,224.9,223.45,226.05,223.45,21.12M,0.65
12/13/2013,223.45,223.37,223.83,222.67,19.65M,0.04
12/12/2013,223.37,224.29,224.8,223.18,18.84M,-0.41
12/11/2013,224.29,226.93,227.08,224.13,20.38M,-1.16
12/10/2013,226.93,227.98,227.98,226.84,19.99M,-0.46
12/9/2013,227.98,227.11,229.32,227.11,21.09M,0.38
12/6/2013,227.11,224.6,227.89,224.6,17.06M,1.12
12/5/2013,224.6,226.42,226.42,224.3,22.13M,-0.8
12/4/2013,226.41,227.94,227.94,225.31,21.17M,-0.67
12/3/2013,227.94,231.58,231.58,226.37,26.13M,-1.57
12/2/2013,231.58,230.85,232.05,230.39,17.24M,0.32
11/29/2013,230.85,230.62,232.53,230.39,12.72M,0.1
11/28/2013,230.62,231.05,231.51,230.62,5.58M,-0.19
11/27/2013,231.05,230.78,232.13,230.78,13.55M,0.11
11/26/2013,230.79,233.27,233.39,230.7,24.89M,-1.06
11/25/2013,233.27,233.25,234.47,233.12,17.64M,0.01
11/22/2013,233.25,232.8,233.96,232.74,17.02M,0.19
11/21/2013,232.8,232.6,233.26,232.41,16.28M,0.09
11/20/2013,232.6,232.39,232.75,231.56,16.42M,0.09
11/19/2013,232.39,232.28,233.34,231.82,18.56M,0.05
11/18/2013,232.28,231.03,232.92,231.03,18.24M,0.54
11/15/2013,231.03,230.16,231.26,230.16,18.83M,0.38
11/14/2013,230.16,229.62,231.12,229.54,17.03M,0.24
11/13/2013,229.62,228.14,229.86,227.54,26.53M,0.65
11/12/2013,228.14,228.29,229.02,227.56,13.58M,-0.07
11/11/2013,228.29,228.38,229.16,228.27,10.84M,-0.04
11/8/2013,228.38,226.44,229.25,226.44,19.48M,0.86
11/7/2013,226.44,226.36,227.32,226.02,20.91M,0.04
11/6/2013,226.36,225.57,226.52,225.57,11.95M,0.35
11/5/2013,225.57,225.37,225.57,223.78,13.66M,0.09
11/4/2013,225.37,225.79,226.55,224.79,14.03M,-0.19
11/1/2013,225.79,225.3,226.86,225.3,11.92M,0.22
10/31/2013,225.3,225.53,227.43,225.3,20.73M,-0.1
10/30/2013,225.53,224.97,225.53,224.34,18.73M,0.25
10/29/2013,224.97,222.65,225.38,222.65,15.91M,1.04
10/28/2013,222.65,222.16,223.02,222.08,11.67M,0.22
10/25/2013,222.16,221.21,222.52,221.2,9.42M,0.43
10/24/2013,221.21,221.03,221.97,220.94,11.77M,0.08
10/23/2013,221.03,221.55,222.09,220.7,16.53M,-0.23
10/22/2013,221.55,220.91,222.29,220.91,18.37M,0.29
10/21/2013,220.91,219.71,221.18,219.63,16.54M,0.55
10/18/2013,219.71,218.09,220.47,218.09,18.77M,0.74
10/17/2013,218.1,217.01,218.23,216.38,13.89M,0.5
10/16/2013,217.02,216.3,217.03,215.98,12.16M,0.33
10/15/2013,216.3,215.79,216.63,214.71,14.35M,0.24
10/11/2013,215.79,214.86,216.13,214.86,10.89M,0.43
10/10/2013,214.86,211.58,215.49,211.58,17.84M,1.55
10/9/2013,211.58,211.29,212.41,210.88,14.15M,0.14
10/8/2013,211.29,211.98,212.6,210.85,11.23M,-0.33
10/7/2013,211.98,211.88,212.83,210.84,11.22M,0.05
10/4/2013,211.88,211.51,212.23,211.31,9.62M,0.17
10/3/2013,211.51,212.6,212.69,210.97,14.95M,-0.51
10/2/2013,212.6,213.54,213.54,211.98,12.63M,-0.44
10/1/2013,213.54,212.28,213.83,212.2,15.49M,0.59
9/30/2013,212.28,213.49,213.96,212.12,18.18M,-0.57
9/27/2013,213.49,213.18,213.67,212.45,10.88M,0.15
9/26/2013,213.18,212.81,213.99,212.81,14.13M,0.17
9/25/2013,212.81,213.03,213.77,212.46,12.76M,-0.1
9/24/2013,213.03,212.21,213.41,212.17,13.38M,0.39
9/23/2013,212.21,211.31,212.46,211.31,13.10M,0.43
9/20/2013,211.31,211.89,212.64,211.31,44.14M,-0.27
9/19/2013,211.89,212.67,213.1,210.86,18.51M,-0.37
9/18/2013,212.67,213.21,213.55,212.58,17.40M,-0.25
9/17/2013,213.21,212.44,213.47,212.44,13.69M,0.36
9/16/2013,212.44,210.52,213.09,210.52,19.01M,0.91
9/13/2013,210.52,211.28,211.96,210.36,13.54M,-0.36
9/12/2013,211.28,212.65,212.87,210.7,14.52M,-0.63
9/11/2013,212.62,212.16,212.88,211.49,15.54M,0.22
9/10/2013,212.16,212.48,212.95,211.76,14.91M,-0.15
9/9/2013,212.48,212.34,212.94,212.23,12.93M,0.07
9/6/2013,212.34,212.81,213.7,211.9,16.24M,-0.22
9/5/2013,212.81,209.93,212.97,209.93,19.21M,1.37
9/4/2013,209.93,209.52,210.63,209.09,13.19M,0.2
9/3/2013,209.52,208.49,210.59,208.49,13.72M,0.49
8/30/2013,208.49,208.87,209.94,208.49,20.89M,-0.18
8/29/2013,208.87,206.08,209.52,206.08,22.79M,1.35
8/28/2013,206.08,206.19,206.3,205.35,18.12M,-0.05
8/27/2013,206.19,208.4,208.4,205.29,20.45M,-1.06
8/26/2013,208.4,208.49,209.43,208.4,15.13M,-0.04
8/23/2013,208.49,207.28,208.87,207.28,13.99M,0.58
8/22/2013,207.28,206.16,207.82,206.16,14.45M,0.54
8/21/2013,206.16,206.73,206.93,204.63,15.72M,-0.28
8/20/2013,206.73,205.47,207.58,205.27,14.81M,0.61
8/19/2013,205.47,207.25,207.25,205.17,13.48M,-0.87
8/16/2013,207.28,206.1,207.94,205.52,14.60M,0.57
8/15/2013,206.1,207,207,204.79,19.03M,-0.43
8/14/2013,207,207.45,207.53,206.3,14.68M,-0.22
8/13/2013,207.45,205.33,207.84,205.33,17.50M,1.03
8/12/2013,205.33,205.8,205.97,204.83,13.62M,-0.23
8/9/2013,205.8,206.51,206.51,205.03,16.65M,-0.34
8/8/2013,206.51,205,207.2,204.91,20.33M,0.74
8/7/2013,205,206.36,206.36,204.4,18.89M,-0.66
8/6/2013,206.36,207.42,207.42,205.18,16.74M,-0.51
8/2/2013,207.42,206.54,207.77,206.03,12.68M,0.43
8/1/2013,206.54,205.61,207.48,205.61,16.95M,0.45
7/31/2013,205.61,207.22,208.33,205.42,20.07M,-0.78
7/30/2013,207.22,208.67,208.84,206.86,21.67M,-0.69
7/29/2013,208.67,207.93,208.99,207.45,13.19M,0.36
7/26/2013,207.93,208.18,208.28,207.25,12.38M,-0.12
7/25/2013,208.18,208.24,208.62,207.51,14.40M,-0.04
7/24/2013,208.26,207.92,209.2,207.58,24.52M,0.21
7/23/2013,207.83,208.74,208.96,207.44,22.77M,-0.44
7/22/2013,208.74,207.64,208.74,207.52,16.66M,0.52
7/19/2013,207.66,206.84,208.07,206.8,22.87M,0.19
7/18/2013,207.27,205.02,207.58,204.53,25.15M,1.34
7/17/2013,204.53,202.66,204.88,202.4,21.18M,1.05
7/16/2013,202.4,203.25,203.23,201.88,14.36M,-0.05
7/15/2013,202.51,201.98,203.3,201.55,14.79M,0.48
7/12/2013,201.55,201.98,202.2,201.28,15.58M,0
7/11/2013,201.55,200.74,201.68,199.79,22.99M,0.88
7/10/2013,199.79,200.2,200.07,199.08,20.74M,-0.1
7/9/2013,199.98,199.56,200.06,198.74,17.50M,0.51
7/8/2013,198.96,198.21,199.06,197.48,20.57M,0.75
7/5/2013,197.48,197.38,198.28,196.55,21.90M,0.12
7/4/2013,197.25,197.61,198.05,196.8,5.69M,0.16
7/3/2013,196.93,197.41,197.71,195.37,16.67M,-0.39
7/2/2013,197.71,197.57,198.07,196.93,18.93M,0.19
6/28/2013,197.34,196.41,198.36,196.26,23.67M,0.43
6/27/2013,196.5,196.59,197.34,195.88,20.42M,0.23
6/26/2013,196.04,195.31,196.63,194.73,22.14M,0.67
6/25/2013,194.73,192.95,194.73,192.17,22.25M,1.33
6/24/2013,192.17,192.24,193.6,190.81,20.35M,-0.47
6/21/2013,193.07,193.35,194.67,192.15,58.65M,0.12
6/20/2013,192.83,194.6,196.16,192.54,48.24M,-1.7
6/19/2013,196.16,196.87,197.2,195.34,24.19M,-0.53
6/18/2013,197.2,196.03,197.9,195.81,21.13M,0.71
6/17/2013,195.81,195.28,196.63,194.23,17.92M,0.84
6/14/2013,194.17,195.14,195.95,193.73,27.43M,-0.74
6/13/2013,195.61,192.3,196.39,191.61,23.90M,1.56
6/12/2013,192.61,195.13,195.19,192.22,19.56M,-0.92
6/11/2013,194.4,195.03,196.32,193.87,23.01M,-0.94
6/10/2013,196.24,196.26,196.99,195.31,14.18M,0.19
6/7/2013,195.87,195.81,196.32,194.08,22.16M,0.34
6/6/2013,195.21,196.21,196.71,193.82,21.67M,-0.76
6/5/2013,196.71,198.52,199.21,196.2,21.74M,-1.25
6/4/2013,199.21,199.52,200.25,198.54,16.56M,-0.09
6/3/2013,199.38,200.52,200.73,198.55,18.77M,-0.19
5/31/2013,199.76,201.28,201.75,199.46,30.20M,-1
5/30/2013,201.78,202.24,202.56,201.57,25.07M,-0.39
5/29/2013,202.56,201.42,202.76,200.84,26.15M,-0.14
5/28/2013,202.85,201.89,202.97,201.19,27.07M,0.83
5/27/2013,201.19,201.54,201.82,201.11,6.64M,-0.09
5/24/2013,201.38,200.75,201.4,200.64,20.01M,0.1
5/23/2013,201.18,200.29,201.94,199.63,18.08M,-0.4
5/22/2013,201.98,202.67,204,201.51,26.74M,-0.1
5/21/2013,202.19,199.92,202.69,199.26,28.62M,1.47
5/17/2013,199.26,196.78,199.54,196.6,25.60M,1
5/16/2013,197.29,197.05,198.22,196.69,17.10M,0.31
5/15/2013,196.69,197.48,197.8,195.55,22.54M,-0.6
5/14/2013,197.87,198.04,198.76,197.7,25.78M,0.03
5/13/2013,197.82,198.36,198.42,196.58,23.93M,-0.24
5/10/2013,198.29,198.15,198.48,197.76,17.11M,0.11
5/9/2013,198.07,199.95,200.02,197.91,21.14M,-0.79
5/8/2013,199.64,198.82,200.1,198.7,18.10M,0.37
5/7/2013,198.9,198.19,199.48,198.06,21.27M,0.43
5/6/2013,198.05,197.93,198.61,197.39,14.52M,0.33
5/3/2013,197.4,198.14,198.92,196.99,21.37M,0.21
5/2/2013,196.99,194.94,197.72,194.64,21.39M,0.92
5/1/2013,195.19,196.37,196.53,194.28,18.88M,-0.54
